model,year,price,mileage,engineSize,Make
0,2017,12500,15735,1.4,0
1,2016,16500,36203,2.0,0
0,2016,11000,29946,1.4,0
2,2017,16800,25952,2.0,0
3,2019,17300,1998,1.0,0
0,2016,13900,32260,1.4,0
1,2016,13250,76788,2.0,0
2,2016,11750,75185,2.0,0
3,2015,10200,46112,1.4,0
0,2016,12000,22451,1.4,0
3,2017,16100,28955,1.4,0
1,2016,16500,52198,2.0,0
4,2016,17000,44915,2.0,0
3,2017,16400,21695,1.4,0
1,2015,15400,47348,2.0,0
3,2017,14500,26156,1.4,0
4,2016,15700,28396,2.0,0
3,2014,13900,30516,1.4,0
5,2016,19000,37652,2.0,0
4,2014,17000,34110,1.4,0
6,2017,17300,37100,2.0,0
5,2016,20200,23714,2.0,0
6,2017,22500,21649,3.0,0
1,2015,17500,62748,3.0,0
5,2016,20000,23789,2.0,0
2,2017,18500,17418,2.0,0
6,2017,19500,33300,2.0,0
0,2018,15800,10793,1.4,0
2,2018,17200,25138,2.0,0
1,2015,14000,61176,2.0,0
0,2015,9500,54754,1.6,0
4,2017,16500,21369,1.4,0
4,2014,15000,39190,2.0,0
4,2017,16000,47482,1.4,0
4,2016,16900,40501,2.0,0
4,2014,12300,43195,2.0,0
0,2017,10800,31447,1.0,0
1,2016,19400,34030,2.0,0
2,2017,16000,29063,2.0,0
3,2017,17100,29545,2.0,0
3,2015,11300,75619,2.0,0
4,2016,17200,39603,2.0,0
4,2017,20300,42908,2.0,0
6,2014,13200,83872,2.0,0
4,2016,15200,58750,1.4,0
3,2019,15700,2029,1.0,0
1,2018,16600,22958,1.8,0
2,2017,14400,32097,2.0,0
6,2017,20200,13057,2.0,0
7,2017,23700,20278,3.0,0
2,2016,12750,52561,2.0,0
1,2015,13000,31604,2.0,0
4,2016,15900,32011,1.4,0
4,2016,15000,39134,2.0,0
5,2015,14700,89483,2.0,0
3,2015,15000,56291,1.8,0
1,2016,16000,47767,2.0,0
0,2014,11000,34315,1.4,0
3,2016,10200,66369,1.6,0
1,2016,18500,34110,2.0,0
0,2013,7000,76269,1.6,0
3,2016,10600,37840,1.6,0
3,2017,16000,26249,1.6,0
4,2017,15000,44898,2.0,0
4,2017,14000,67161,1.4,0
3,2018,18950,17992,1.5,0
2,2016,10200,97440,2.0,0
0,2017,11700,19268,1.0,0
3,2013,11500,51441,1.8,0
0,2016,10800,18181,1.0,0
3,2016,12500,19494,2.0,0
1,2016,16600,32808,2.0,0
3,2017,13100,25965,2.0,0
3,2016,8300,88215,2.0,0
3,2019,16000,5704,1.0,0
2,2017,16900,10959,1.4,0
5,2016,19600,30201,2.0,0
4,2017,21800,19319,2.0,0
1,2017,16200,22582,2.0,0
6,2017,18700,20052,2.0,0
4,2016,16100,16666,2.0,0
3,2016,11300,25626,1.6,0
3,2016,14100,10460,1.4,0
1,2016,16600,43307,2.0,0
0,2017,11300,29327,1.4,0
4,2017,15600,36714,1.4,0
0,2014,10000,28324,1.4,0
0,2016,14500,12100,1.4,0
4,2017,16100,18001,2.0,0
0,2016,10600,28760,1.4,0
3,2019,25499,4000,1.5,0
8,2019,25499,7897,2.0,0
1,2016,15500,24744,3.0,0
4,2015,16200,30075,2.0,0
0,2017,14000,12577,1.4,0
1,2016,17300,24421,2.0,0
0,2016,10600,15567,1.6,0
2,2018,17500,15207,1.4,0
2,2017,15000,14864,1.4,0
2,2019,25499,9000,2.0,0
2,2019,25000,5000,2.0,0
8,2019,31000,4264,2.0,0
4,2019,28000,4000,2.0,0
4,2019,28000,4000,1.5,0
8,2019,21499,2721,1.6,0
8,2019,26000,4000,1.5,0
5,2016,30000,49649,3.0,0
2,2017,17000,14068,1.4,0
2,2017,14500,23092,1.4,0
4,2017,17500,30682,2.0,0
0,2016,10500,18272,1.0,0
8,2017,14800,23714,1.6,0
1,2016,12000,71311,2.0,0
